Date,Category,Subcategory,Amount,Type,Payment_Method,City,Merchant,Notes,Year,Month,Month_Num,Quarter,Weekday,Day,Weekend_Flag,Expense_Bucket
2025-01-01 12:06:25,Entertainment,Ott,1309.44,Expense,Credit Card,Kolkata,Ola,OTT payment via Credit Card,2025,January,1,Q1,Wednesday,1,Weekday,Medium
2025-01-01 16:58:07,Shopping,Accessories,4836.84,Expense,Upi,Bengaluru,BookMyShow,Accessories payment via UPI,2025,January,1,Q1,Wednesday,1,Weekday,High
2025-01-01 16:58:07,Savings,Investment,10551.54,Expense,Net Banking,Delhi,Zomato,Investment payment via Net Banking,2025,January,1,Q1,Wednesday,1,Weekday,High
2025-01-01 18:47:41,Travel,Cab,897.3,Expense,Credit Card,Bengaluru,Big Bazaar,Cab payment via Credit Card,2025,January,1,Q1,Wednesday,1,Weekday,Medium
2025-01-01 18:47:41,Health,Medicine,2520.71,Expense,Upi,Kolkata,Swiggy,Medicine payment via UPI,2025,January,1,Q1,Wednesday,1,Weekday,Medium
2025-01-01 19:37:20,Travel,Cab,2648.02,Expense,Debit Card,Delhi,Apollo,Cab payment via Debit Card,2025,January,1,Q1,Wednesday,1,Weekday,Medium
2025-01-01 19:37:20,Bills,Electricity,1464.67,Expense,Cash,Kolkata,Big Bazaar,Electricity payment via Cash,2025,January,1,Q1,Wednesday,1,Weekday,Medium
2025-01-01 19:37:20,Travel,Train,7003.88,Expense,Credit Card,Delhi,Local Store,Train payment via Credit Card,2025,January,1,Q1,Wednesday,1,Weekday,High
2025-01-02 04:42:35,Food,Dining Out,1595.33,Expense,Credit Card,Pune,Local Store,Dining Out payment via Credit Card,2025,January,1,Q1,Thursday,2,Weekday,Medium
2025-01-02 09:00:34,Food,Groceries,946.38,Expense,Cash,Pune,Big Bazaar,Groceries payment via Cash,2025,January,1,Q1,Thursday,2,Weekday,Medium
2025-01-03 02:51:02,Travel,Train,5197.29,Expense,Net Banking,Delhi,BookMyShow,Train payment via Net Banking,2025,January,1,Q1,Friday,3,Weekday,High
2025-01-03 06:56:15,Savings,Emergency Fund,2176.28,Expense,Debit Card,Mumbai,DMart,Emergency Fund payment via Debit Card,2025,January,1,Q1,Friday,3,Weekday,Medium
2025-01-03 14:34:41,Travel,Flight,7342.64,Expense,Net Banking,Bengaluru,Local Store,Flight payment via Net Banking,2025,January,1,Q1,Friday,3,Weekday,High
2025-01-03 19:59:21,Shopping,Electronics,1815.32,Expense,Upi,Mumbai,Local Store,Electronics payment via UPI,2025,January,1,Q1,Friday,3,Weekday,Medium
2025-01-04 08:13:10,Shopping,Books,3507.21,Expense,Debit Card,Pune,Local Store,Books payment via Debit Card,2025,January,1,Q1,Saturday,4,Weekend,High
2025-01-04 08:13:10,Rent,Pg Rent,18292.24,Expense,Upi,Kolkata,BookMyShow,PG Rent payment via UPI,2025,January,1,Q1,Saturday,4,Weekend,High
2025-01-05 15:51:30,Travel,Flight,937.51,Expense,Credit Card,Kolkata,Ola,Flight payment via Credit Card,2025,January,1,Q1,Sunday,5,Weekend,Medium
2025-01-06 04:32:25,Bills,Internet,2915.73,Expense,Cash,Kolkata,Apollo,Internet payment via Cash,2025,January,1,Q1,Monday,6,Weekday,Medium
2025-01-06 04:49:55,Food,Snacks,1266.8,Expense,Cash,Kolkata,BookMyShow,Snacks payment via Cash,2025,January,1,Q1,Monday,6,Weekday,Medium
2025-01-06 09:43:30,Entertainment,Games,185.83,Expense,Credit Card,Mumbai,Apollo,Games payment via Credit Card,2025,January,1,Q1,Monday,6,Weekday,Low
2025-01-06 09:43:30,Salary,Monthly Salary,27711.54,Income,Upi,Delhi,DMart,Monthly Salary payment via UPI,2025,January,1,Q1,Monday,6,Weekday,High
2025-01-06 16:27:14,Salary,Freelance,39733.0,Income,Credit Card,Mumbai,Apollo,Freelance payment via Credit Card,2025,January,1,Q1,Monday,6,Weekday,High
2025-01-06 19:12:37,Health,Insurance,1196.84,Expense,Credit Card,Mumbai,Ola,Insurance payment via Credit Card,2025,January,1,Q1,Monday,6,Weekday,Medium
2025-01-07 10:03:14,Food,Groceries,1194.74,Expense,Upi,Bengaluru,Flipkart,Groceries payment via UPI,2025,January,1,Q1,Tuesday,7,Weekday,Medium
2025-01-07 12:51:25,Education,Course,9904.71,Expense,Cash,Bengaluru,Zomato,Course payment via Cash,2025,January,1,Q1,Tuesday,7,Weekday,High
2025-01-07 12:51:25,Shopping,Books,426.34,Expense,Cash,Bengaluru,BookMyShow,Books payment via Cash,2025,January,1,Q1,Tuesday,7,Weekday,Low
2025-01-07 12:51:25,Rent,Pg Rent,5109.34,Expense,Net Banking,Delhi,Flipkart,PG Rent payment via Net Banking,2025,January,1,Q1,Tuesday,7,Weekday,High
2025-01-07 14:47:30,Health,Gym,9486.45,Expense,Cash,Kolkata,Flipkart,Gym payment via Cash,2025,January,1,Q1,Tuesday,7,Weekday,High
2025-01-07 14:47:30,Entertainment,Ott,4566.73,Expense,Credit Card,Kolkata,Flipkart,OTT payment via Credit Card,2025,January,1,Q1,Tuesday,7,Weekday,High
2025-01-07 14:47:30,Health,Gym,5484.73,Expense,Upi,Bengaluru,Amazon,Gym payment via UPI,2025,January,1,Q1,Tuesday,7,Weekday,High
2025-01-08 12:19:10,Entertainment,Concert,3542.91,Expense,Debit Card,Bengaluru,BookMyShow,Concert payment via Debit Card,2025,January,1,Q1,Wednesday,8,Weekday,High
2025-01-08 17:05:26,Entertainment,Concert,1281.71,Expense,Debit Card,Kolkata,Ola,Concert payment via Debit Card,2025,January,1,Q1,Wednesday,8,Weekday,Medium
2025-01-08 17:05:26,Entertainment,Games,1673.69,Expense,Net Banking,Mumbai,Apollo,Games payment via Net Banking,2025,January,1,Q1,Wednesday,8,Weekday,Medium
2025-01-08 17:05:26,Education,Books,14312.32,Expense,Debit Card,Bengaluru,DMart,Books payment via Debit Card,2025,January,1,Q1,Wednesday,8,Weekday,High
2025-01-09 04:34:49,Bills,Water,3427.17,Expense,Debit Card,Bengaluru,DMart,Water payment via Debit Card,2025,January,1,Q1,Thursday,9,Weekday,High
2025-01-09 21:46:38,Education,Books,12910.86,Expense,Credit Card,Kolkata,Swiggy,Books payment via Credit Card,2025,January,1,Q1,Thursday,9,Weekday,High
2025-01-10 07:08:48,Rent,Hostel Rent,19537.99,Expense,Upi,Kolkata,DMart,Hostel Rent payment via UPI,2025,January,1,Q1,Friday,10,Weekday,High
2025-01-10 09:52:48,Education,Exam Fee,9743.52,Expense,Debit Card,Bengaluru,Ola,Exam Fee payment via Debit Card,2025,January,1,Q1,Friday,10,Weekday,High
2025-01-10 09:52:48,Food,Coffee,1559.41,Expense,Credit Card,Mumbai,BookMyShow,Coffee payment via Credit Card,2025,January,1,Q1,Friday,10,Weekday,Medium
2025-01-10 09:52:48,Shopping,Clothes,466.02,Expense,Debit Card,Delhi,Apollo,Clothes payment via Debit Card,2025,January,1,Q1,Friday,10,Weekday,Low
2025-01-11 02:32:52,Savings,Fixed Deposit,5110.75,Expense,Upi,Pune,Big Bazaar,Fixed Deposit payment via UPI,2025,January,1,Q1,Saturday,11,Weekend,High
2025-01-11 02:52:51,Rent,Hostel Rent,12456.78,Expense,Credit Card,Pune,Amazon,Hostel Rent payment via Credit Card,2025,January,1,Q1,Saturday,11,Weekend,High
2025-01-11 12:58:01,Entertainment,Concert,1546.92,Expense,Credit Card,Delhi,DMart,Concert payment via Credit Card,2025,January,1,Q1,Saturday,11,Weekend,Medium
2025-01-11 12:58:01,Savings,Emergency Fund,11199.33,Expense,Credit Card,Pune,BookMyShow,Emergency Fund payment via Credit Card,2025,January,1,Q1,Saturday,11,Weekend,High
2025-01-11 12:58:01,Bills,Water,3607.68,Expense,Debit Card,Delhi,Swiggy,Water payment via Debit Card,2025,January,1,Q1,Saturday,11,Weekend,High
2025-01-11 22:26:29,Bills,Mobile Recharge,1692.46,Expense,Credit Card,Delhi,Local Store,Mobile Recharge payment via Credit Card,2025,January,1,Q1,Saturday,11,Weekend,Medium
2025-01-11 22:26:29,Travel,Cab,3771.73,Expense,Debit Card,Bengaluru,Swiggy,Cab payment via Debit Card,2025,January,1,Q1,Saturday,11,Weekend,High
2025-01-12 00:59:19,Education,Course,13695.71,Expense,Debit Card,Pune,BookMyShow,Course payment via Debit Card,2025,January,1,Q1,Sunday,12,Weekend,High
2025-01-12 00:59:19,Savings,Fixed Deposit,7750.49,Expense,Upi,Delhi,Uber,Fixed Deposit payment via UPI,2025,January,1,Q1,Sunday,12,Weekend,High
2025-01-12 00:59:19,Education,Exam Fee,2821.48,Expense,Debit Card,Delhi,Swiggy,Exam Fee payment via Debit Card,2025,January,1,Q1,Sunday,12,Weekend,Medium
2025-01-12 01:08:00,Travel,Bus,6234.38,Expense,Debit Card,Mumbai,Swiggy,Bus payment via Debit Card,2025,January,1,Q1,Sunday,12,Weekend,High
2025-01-12 12:42:41,Shopping,Clothes,4325.68,Expense,Cash,Mumbai,Amazon,Clothes payment via Cash,2025,January,1,Q1,Sunday,12,Weekend,High
2025-01-12 12:42:41,Rent,House Rent,20296.0,Expense,Net Banking,Kolkata,Swiggy,House Rent payment via Net Banking,2025,January,1,Q1,Sunday,12,Weekend,High
2025-01-13 01:47:13,Travel,Train,3529.29,Expense,Cash,Delhi,Flipkart,Train payment via Cash,2025,January,1,Q1,Monday,13,Weekday,High
2025-01-13 09:57:27,Bills,Electricity,4350.36,Expense,Cash,Delhi,Ola,Electricity payment via Cash,2025,January,1,Q1,Monday,13,Weekday,High
2025-01-13 09:57:27,Rent,House Rent,13644.04,Expense,Cash,Bengaluru,Local Store,House Rent payment via Cash,2025,January,1,Q1,Monday,13,Weekday,High
2025-01-13 13:54:40,Rent,Hostel Rent,22296.28,Expense,Net Banking,Mumbai,DMart,Hostel Rent payment via Net Banking,2025,January,1,Q1,Monday,13,Weekday,High
2025-01-13 13:54:40,Entertainment,Movies,4674.5,Expense,Debit Card,Bengaluru,Local Store,Movies payment via Debit Card,2025,January,1,Q1,Monday,13,Weekday,High
2025-01-13 13:54:40,Shopping,Books,9643.54,Expense,Debit Card,Pune,Zomato,Books payment via Debit Card,2025,January,1,Q1,Monday,13,Weekday,High
2025-01-13 13:54:40,Shopping,Books,9399.42,Expense,Debit Card,Bengaluru,BookMyShow,Books payment via Debit Card,2025,January,1,Q1,Monday,13,Weekday,High
2025-01-13 17:42:47,Travel,Flight,811.25,Expense,Credit Card,Delhi,Local Store,Flight payment via Credit Card,2025,January,1,Q1,Monday,13,Weekday,Medium
2025-01-14 03:32:44,Education,Books,4379.05,Expense,Net Banking,Delhi,Big Bazaar,Books payment via Net Banking,2025,January,1,Q1,Tuesday,14,Weekday,High
2025-01-14 03:32:44,Health,Insurance,8701.2,Expense,Upi,Pune,Ola,Insurance payment via UPI,2025,January,1,Q1,Tuesday,14,Weekday,High
2025-01-15 01:38:22,Rent,House Rent,7229.95,Expense,Credit Card,Bengaluru,BookMyShow,House Rent payment via Credit Card,2025,January,1,Q1,Wednesday,15,Weekday,High
2025-01-15 03:41:09,Education,Books,4163.09,Expense,Net Banking,Kolkata,Swiggy,Books payment via Net Banking,2025,January,1,Q1,Wednesday,15,Weekday,High
2025-01-15 08:44:42,Shopping,Clothes,5846.69,Expense,Upi,Kolkata,Amazon,Clothes payment via UPI,2025,January,1,Q1,Wednesday,15,Weekday,High
2025-01-15 14:45:52,Entertainment,Movies,1328.58,Expense,Upi,Mumbai,DMart,Movies payment via UPI,2025,January,1,Q1,Wednesday,15,Weekday,Medium
2025-01-15 21:24:03,Education,Course,8642.06,Expense,Upi,Kolkata,Uber,Course payment via UPI,2025,January,1,Q1,Wednesday,15,Weekday,High
2025-01-15 21:24:03,Salary,Internship Stipend,34256.16,Income,Cash,Delhi,Swiggy,Internship Stipend payment via Cash,2025,January,1,Q1,Wednesday,15,Weekday,High
2025-01-16 03:11:46,Shopping,Clothes,7176.13,Expense,Upi,Pune,Ola,Clothes payment via UPI,2025,January,1,Q1,Thursday,16,Weekday,High
2025-01-16 03:11:46,Rent,Pg Rent,12209.03,Expense,Debit Card,Delhi,BookMyShow,PG Rent payment via Debit Card,2025,January,1,Q1,Thursday,16,Weekday,High
2025-01-16 13:20:27,Rent,House Rent,8260.34,Expense,Cash,Mumbai,Big Bazaar,House Rent payment via Cash,2025,January,1,Q1,Thursday,16,Weekday,High
2025-01-16 15:44:55,Entertainment,Concert,1585.65,Expense,Credit Card,Delhi,Zomato,Concert payment via Credit Card,2025,January,1,Q1,Thursday,16,Weekday,Medium
2025-01-17 08:54:26,Salary,Freelance,28157.6,Income,Debit Card,Mumbai,Zomato,Freelance payment via Debit Card,2025,January,1,Q1,Friday,17,Weekday,High
2025-01-17 08:54:26,Rent,House Rent,23768.02,Expense,Credit Card,Pune,Big Bazaar,House Rent payment via Credit Card,2025,January,1,Q1,Friday,17,Weekday,High
2025-01-17 09:20:12,Food,Coffee,440.2,Expense,Debit Card,Pune,Flipkart,Coffee payment via Debit Card,2025,January,1,Q1,Friday,17,Weekday,Low
2025-01-17 09:20:12,Education,Stationery,12664.47,Expense,Debit Card,Kolkata,Flipkart,Stationery payment via Debit Card,2025,January,1,Q1,Friday,17,Weekday,High
2025-01-17 09:20:12,Travel,Flight,2208.8,Expense,Credit Card,Delhi,Local Store,Flight payment via Credit Card,2025,January,1,Q1,Friday,17,Weekday,Medium
2025-01-17 11:21:26,Shopping,Books,4730.49,Expense,Debit Card,Bengaluru,Uber,Books payment via Debit Card,2025,January,1,Q1,Friday,17,Weekday,High
2025-01-17 23:08:09,Travel,Bus,1648.73,Expense,Debit Card,Delhi,BookMyShow,Bus payment via Debit Card,2025,January,1,Q1,Friday,17,Weekday,Medium
2025-01-19 12:53:16,Rent,Hostel Rent,8816.68,Expense,Credit Card,Bengaluru,Apollo,Hostel Rent payment via Credit Card,2025,January,1,Q1,Sunday,19,Weekend,High
2025-01-19 21:05:07,Shopping,Accessories,11812.95,Expense,Cash,Delhi,BookMyShow,Accessories payment via Cash,2025,January,1,Q1,Sunday,19,Weekend,High
2025-01-19 22:12:36,Food,Coffee,854.1,Expense,Net Banking,Delhi,Zomato,Coffee payment via Net Banking,2025,January,1,Q1,Sunday,19,Weekend,Medium
2025-01-20 05:38:29,Bills,Electricity,1163.7,Expense,Credit Card,Kolkata,Zomato,Electricity payment via Credit Card,2025,January,1,Q1,Monday,20,Weekday,Medium
2025-01-20 22:25:20,Food,Groceries,1512.77,Expense,Upi,Bengaluru,Big Bazaar,Groceries payment via UPI,2025,January,1,Q1,Monday,20,Weekday,Medium
2025-01-21 05:33:34,Shopping,Books,9256.9,Expense,Net Banking,Pune,Uber,Books payment via Net Banking,2025,January,1,Q1,Tuesday,21,Weekday,High
2025-01-21 05:33:34,Salary,Monthly Salary,20261.56,Income,Net Banking,Pune,Amazon,Monthly Salary payment via Net Banking,2025,January,1,Q1,Tuesday,21,Weekday,High
2025-01-21 21:31:08,Entertainment,Concert,575.13,Expense,Net Banking,Pune,Uber,Concert payment via Net Banking,2025,January,1,Q1,Tuesday,21,Weekday,Medium
2025-01-21 21:31:08,Salary,Monthly Salary,16609.48,Income,Cash,Delhi,Zomato,Monthly Salary payment via Cash,2025,January,1,Q1,Tuesday,21,Weekday,High
